FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
1390289|Laderan A¿paka|Cliff|MP|69|Tinian|120|145811N|1453919E|14.9697222|145.6552778|||||112|367|Island of Tinian|01/01/2000|03/23/2006
1390290|Achugao|Slope|MP|69|Saipan|110|151414N|1454604E|15.2372222|145.7677778|||||109|358|Island of Saipan|01/01/2000|
1390291|Bo¿bo¿ Achugao Lagu|Spring|MP|69|Saipan|110|151411N|1454551E|15.2363889|145.7641667|||||78|256|Saipan|01/01/2000|03/23/2006
1390292|Landeran Achugao|Cliff|MP|69|Saipan|110|151421N|1454556E|15.2391667|145.7655556|||||63|207|Island of Saipan|01/01/2000|
1390293|Puntan Achugao|Cape|MP|69|Saipan|110|151455N|1454601E|15.2486111|145.7669444|||||0|0|Island of Saipan|01/01/2000|
1390294|Sabanan Achugao|Slope|MP|69|Saipan|110|151409N|1454621E|15.2358333|145.7725|||||205|673|Island of Saipan|01/01/2000|
1390295|Unai Achugao|Beach|MP|69|Saipan|110|151437N|1454534E|15.2436111|145.7594444|||||5|16|Island of Saipan|01/01/2000|
1390296|Laderan Adilok|Cliff|MP|69|Saipan|110|151109N|1454537E|15.1858333|145.7602778|||||183|600|Island of Saipan|01/01/2000|
1390297|Admiral HG Hopwood Junior High School|School|MP|69|Saipan|110|150822N|1454150E|15.1394444|145.6972222|||||0|0|Island of Saipan|01/01/2000|
1390298|Afetna|Populated Place|MP|69|Saipan|110|150737N|1454134E|15.1269444|145.6927778|||||0|0|Island of Saipan|01/01/2000|
1390299|Puntan Afetna|Cape|MP|69|Saipan|110|150741N|1454123E|15.1280556|145.6897222|||||0|0|Island of Saipan|01/01/2000|
1390300|Unai Afetna|Beach|MP|69|Saipan|110|150749N|1454126E|15.1302778|145.6905556|||||0|0|Island of Saipan|01/01/2000|
1390301|Afuefuniya Point|Cape|MP|69|Rota|100|140644N|1451143E|14.1122222|145.1952778|||||0|0|Island of Rota (Luta)|01/01/2000|
1390302|Saddok As Agatan|Stream|MP|69|Saipan|110|151418N|1454455E|15.2383333|145.7486111|151418N|1454455E|15.2383333|145.7486111|1|3|Island of Saipan|01/01/2000|
1390303|Agingan|Beach|MP|69|Saipan|110|150653N|1454157E|15.1147222|145.6991667|||||0|0|Island of Saipan|01/01/2000|
1390304|Laderan Agingan|Cliff|MP|69|Saipan|110|150700N|1454159E|15.1166667|145.6997222|||||9|30|Island of Saipan|01/01/2000|
1390305|Puntan Agingan|Cape|MP|69|Saipan|110|150708N|1454119E|15.1188889|145.6886111|||||0|0|Island of Saipan|01/01/2000|
1390307|Aguijan Island|Island|MP|69|Saipan|110|145106N|1453325E|14.8516667|145.5569444|||||164|538|Tinian 05 of 05|01/01/2000|
1390308|Agusan|Slope|MP|69|Rota|100|141103N|1451306E|14.1841667|145.2183333|||||51|167|Island of Rota (Luta)|01/01/2000|
1390309|Aila|Slope|MP|69|Rota|100|140752N|1450757E|14.1311111|145.1325|||||34|112|Island of Rota (Luta)|01/01/2000|
1390310|I Akgak|Slope|MP|69|Saipan|110|151139N|1454502E|15.1941667|145.7505556|||||213|699|Island of Saipan|01/01/2000|
1390311|Laderan I Akgak|Cliff|MP|69|Saipan|110|151152N|1454448E|15.1977778|145.7466667|||||338|1109|Island of Saipan|01/01/2000|
1390312|As Akina|Slope|MP|69|Saipan|110|151333N|1454526E|15.2258333|145.7572222|||||150|492|Island of Saipan|01/01/2000|
1390313|Alaguan|Slope|MP|69|Rota|100|140857N|1451407E|14.1491667|145.2352778|||||76|249|Island of Rota (Luta)|01/01/2000|
1390314|Alamagan Island|Island|MP|69|Northern Islands|085|173606N|1455018E|17.6016667|145.8383333|||||||Alamagan Island|01/01/2000|
1390315|Anatahan Island|Island|MP|69|Northern Islands|085|162128N|1453958E|16.3577778|145.6661111|||||||Anatahan Island|01/01/2000|
1390316|Angyuta Island|Island|MP|69|Rota|100|140804N|1450745E|14.1344444|145.1291667|||||0|0|Island of Rota (Luta)|01/01/2000|
1390317|Apaan Bay|Bay|MP|69|Northern Islands|085|180711N|1454517E|18.1197222|145.7547222|||||||Pagan Island|01/01/2000|
1390318|Apanon|Slope|MP|69|Rota|100|140657N|1451122E|14.1158333|145.1894444|||||12|39|Island of Rota (Luta)|01/01/2000|
1390319|Apansanmeena|Beach|MP|69|Northern Islands|085|180708N|1454555E|18.1188889|145.7652778|||||||Pagan Island|01/01/2000|
1390320|Apansantate|Beach|MP|69|Northern Islands|085|180620N|1454621E|18.1055556|145.7725|||||||Pagan Island|01/01/2000|
1390321|Kannat I Apikot|Stream|MP|69|Saipan|110|151258N|1454412E|15.2161111|145.7366667|151258N|1454412E|15.2161111|145.7366667|95|312|Island of Saipan|01/01/2000|
1390322|Puntan Asiga|Cape|MP|69|Tinian|120|150324N|1453922E|15.0566667|145.6561111|||||26|85|Island of Tinian|01/01/2000|
1390323|Sabanetan Asiga|Slope|MP|69|Tinian|120|150300N|1453838E|15.05|145.6438889|||||53|174|Island of Tinian|01/01/2000|
1390324|Unai Asiga|Beach|MP|69|Tinian|120|150226N|1453841E|15.0405556|145.6447222|||||24|79|Island of Tinian|01/01/2000|
1390325|Asuncion Island|Island|MP|69|Northern Islands|085|194004N|1452416E|19.6677778|145.4044444|||||||Asuncion Island|01/01/2000|
1390326|Asuzudo Point|Cape|MP|69|Rota|100|141155N|1451427E|14.1986111|145.2408333|||||13|43|Island of Rota (Luta)|01/01/2000|
1390327|Atgidon|Slope|MP|69|Tinian|120|150122N|1453527E|15.0227778|145.5908333|||||53|174|Island of Tinian|01/01/2000|
1390328|Puntan Atgidon|Cape|MP|69|Tinian|120|150054N|1453452E|15.015|145.5811111|||||0|0|Island of Tinian|01/01/2000|
1390329|Sabanetan Unai Babui|Slope|MP|69|Tinian|120|150428N|1453724E|15.0744444|145.6233333|||||8|26|Island of Tinian|01/01/2000|
1390330|Unai Babui|Beach|MP|69|Tinian|120|150437N|1453710E|15.0769444|145.6194444|||||7|23|Island of Tinian|01/01/2000|
1390331|Banaderu|Cape|MP|69|Saipan|110|151640N|1454848E|15.2777778|145.8133333|||||49|161|Island of Saipan|01/01/2000|
1390332|Laderan Banaderu|Cliff|MP|69|Saipan|110|151635N|1454824E|15.2763889|145.8066667|||||222|728|Island of Saipan|01/01/2000|
1390333|Bandeera|Summit|MP|69|Northern Islands|085|180749N|1454550E|18.1302778|145.7638889|||||||Mount Pagan|01/01/2000|
1390334|Banzai Cliff|Cliff|MP|69|Saipan|110|151709N|1454843E|15.2858333|145.8119444|||||43|141|Island of Saipan|01/01/2000|
1390335|Laderan Bapot|Cliff|MP|69|Tinian|120|145912N|1453913E|14.9866667|145.6536111|||||31|102|Island of Tinian|01/01/2000|
1390336|Puntan Bapot|Cape|MP|69|Saipan|110|150916N|1454604E|15.1544444|145.7677778|||||0|0|Island of Saipan|01/01/2000|
1390337|Unai Baput|Beach|MP|69|Saipan|110|150942N|1454539E|15.1616667|145.7608333|||||0|0|Island of Saipan|01/01/2000|
1390338|Barangka|Slope|MP|69|Tinian|120|145810N|1453935E|14.9694444|145.6597222|||||84|276|Island of Tinian|01/01/2000|
1390339|Puntan Barangka|Cape|MP|69|Tinian|120|145813N|1453948E|14.9702778|145.6633333|||||42|138|Island of Tinian|01/01/2000|
1390340|Bateha|Slope|MP|69|Tinian|120|150110N|1453719E|15.0194444|145.6219444|||||89|292|Island of Tinian|01/01/2000|
1390341|I Batko|Slope|MP|69|Rota|100|141117N|1451342E|14.1880556|145.2283333|||||78|256|Island of Rota (Luta)|01/01/2000|
1390342|Beach Park|Park|MP|69|Saipan|110|151301N|1454253E|15.2169444|145.7147222|||||0|0|Island of Saipan|01/01/2000|
1390343|Buritoma|Channel|MP|69|Northern Islands|085|180322N|1454430E|18.0561111|145.7416667|||||||Pagan Island|01/01/2000|
1390344|Carolinas|Summit|MP|69|Tinian|120|145602N|1453812E|14.9338889|145.6366667|||||143|469|Island of Tinian|01/01/2000|
1390345|Puntan Carolinas|Cape|MP|69|Tinian|120|145519N|1453759E|14.9219444|145.6330556|||||0|0|Island of Tinian|01/01/2000|
1390346|Chacha|Slope|MP|69|Saipan|110|151026N|1454612E|15.1738889|145.77|||||64|210|Island of Saipan|01/01/2000|
1390347|Chalan Kanoa|Populated Place|MP|69|Saipan|110|150844N|1454157E|15.1455556|145.6991667|||||0|0|Saipan OE W|01/01/2000|04/21/2008
1390348|Lagunan Chalan Kanoa|Bay|MP|69|Saipan|110|150754N|1454121E|15.1316667|145.6891667|||||0|0|Island of Saipan|01/01/2000|
1390349|Unai Chalan Kanoa|Beach|MP|69|Saipan|110|150842N|1454152E|15.145|145.6977778|||||0|0|Island of Saipan|01/01/2000|
1390350|Laderan Chiget|Cliff|MP|69|Tinian|120|150331N|1453857E|15.0586111|145.6491667|||||62|203|Island of Tinian|01/01/2000|
1390351|Puntan Chiget|Cape|MP|69|Tinian|120|150334N|1453920E|15.0594444|145.6555556|||||40|131|Island of Tinian|01/01/2000|
1390352|Sabanetan Chiget|Slope|MP|69|Tinian|120|150410N|1453903E|15.0694444|145.6508333|||||31|102|Island of Tinian|01/01/2000|
1390353|Unai Chiget|Beach|MP|69|Tinian|120|150338N|1453915E|15.0605556|145.6541667|||||18|59|Island of Tinian|01/01/2000|
1390354|Unai Chulu|Beach|MP|69|Tinian|120|150415N|1453649E|15.0708333|145.6136111|||||0|0|Island of Tinian|01/01/2000|
1390355|Dagu|Basin|MP|69|Saipan|110|150827N|1454325E|15.1408333|145.7236111|||||36|118|Island of Saipan|01/01/2000|
1390356|Laderan Dagu|Cliff|MP|69|Tinian|120|145946N|1453917E|14.9961111|145.6547222|||||38|125|Island of Tinian|01/01/2000|
1390357|Laderan Dagu|Cliff|MP|69|Saipan|110|150809N|1454348E|15.1358333|145.73|||||54|177|Island of Saipan|01/01/2000|
1390358|Dandan|Slope|MP|69|Saipan|110|150813N|1454400E|15.1369444|145.7333333|||||87|285|Island of Saipan|01/01/2000|
1390359|Laderan Dandan|Cliff|MP|69|Saipan|110|150914N|1454349E|15.1538889|145.7302778|||||59|194|Island of Saipan|01/01/2000|
1390360|Puntan Dandan|Cape|MP|69|Saipan|110|150718N|1454507E|15.1216667|145.7519444|||||45|148|Island of Saipan|01/01/2000|
1390361|Sabanan Dandan|Slope|MP|69|Saipan|110|150929N|1454414E|15.1580556|145.7372222|||||137|449|Island of Saipan|01/01/2000|
1390362|Unai Dandan|Beach|MP|69|Saipan|110|150804N|1454422E|15.1344444|145.7394444|||||50|164|Island of Saipan|01/01/2000|
1390363|Unai Dangkolo|Beach|MP|69|Tinian|120|150208N|1453846E|15.0355556|145.6461111|||||20|66|Island of Tinian|01/01/2000|
1390364|Unai Dangkolo|Slope|MP|69|Tinian|120|150211N|1453823E|15.0363889|145.6397222|||||54|177|Island of Tinian|01/01/2000|
1390365|Degusa|Beach|MP|69|Northern Islands|085|180645N|1454713E|18.1125|145.7869444|||||||Pagan Island|01/01/2000|
1390366|Dekairu|Channel|MP|69|Northern Islands|085|180628N|1454550E|18.1077778|145.7638889|||||||Pagan Island|01/01/2000|
1390367|Unai Denikuio Agingan|Beach|MP|69|Saipan|110|150643N|1454204E|15.1119444|145.7011111|||||0|0|Island of Saipan|01/01/2000|
1390368|Puntan Diapblo|Cape|MP|69|Tinian|120|145941N|1453502E|14.9947222|145.5838889|||||0|0|Island of Tinian|01/01/2000|
1390369|Puntan Diapblo|Slope|MP|69|Tinian|120|145945N|1453509E|14.9958333|145.5858333|||||21|69|Island of Tinian|01/01/2000|
1390370|Puntan Do¿gas|Cape|MP|69|Saipan|110|151428N|1454507E|15.2411111|145.7519444|||||0|0|Saipan|01/01/2000|03/23/2006
1390371|East Island|Island|MP|69|Northern Islands|085|200119N|1451407E|20.0219444|145.2352778|||||||Maug Island|01/01/2000|
1390372|Esong|Slope|MP|69|Rota|100|140908N|1450852E|14.1522222|145.1477778|||||44|144|Island of Rota (Luta)|01/01/2000|
1390373|Kannat I Etdot|Stream|MP|69|Saipan|110|150922N|1454343E|15.1561111|145.7286111|150922N|1454343E|15.1561111|145.7286111|71|233|Island of Saipan|01/01/2000|
1390374|Laderan I Etdot|Cliff|MP|69|Saipan|110|151044N|1454400E|15.1788889|145.7333333|||||226|741|Island of Saipan|01/01/2000|
1390375|Sabanan Etdot|Slope|MP|69|Saipan|110|151014N|1454402E|15.1705556|145.7338889|||||176|577|Island of Saipan|01/01/2000|
1390376|I Fadang|Bench|MP|69|Saipan|110|150711N|1454339E|15.1197222|145.7275|||||71|233|Island of Saipan|01/01/2000|
1390377|Falagon|Slope|MP|69|Rota|100|140753N|1450748E|14.1313889|145.13|||||12|39|Island of Rota (Luta)|01/01/2000|
1390378|As Falipe|Slope|MP|69|Saipan|110|151207N|1454344E|15.2019444|145.7288889|||||69|226|Island of Saipan|01/01/2000|
1390379|Kannat Falipe|Stream|MP|69|Saipan|110|151152N|1454339E|15.1977778|145.7275|151152N|1454339E|15.1977778|145.7275|54|177|Island of Saipan|01/01/2000|
1390380|Chalan Famalaoan|Slope|MP|69|Tinian|120|145916N|1453834E|14.9877778|145.6427778|||||89|292|Island of Tinian|01/01/2000|
1390381|Kannat Fanaganan Kattan|Stream|MP|69|Saipan|110|151225N|1454338E|15.2069444|145.7272222|151225N|1454338E|15.2069444|145.7272222|51|167|Island of Saipan|01/01/2000|
1390382|Kannat Fanaganan Lichan|Stream|MP|69|Saipan|110|151222N|1454325E|15.2061111|145.7236111|151222N|1454325E|15.2061111|145.7236111|19|62|Island of Saipan|01/01/2000|
1390383|Fananganan|Slope|MP|69|Saipan|110|151228N|1454330E|15.2077778|145.725|||||28|92|Island of Saipan|01/01/2000|
1390384|Kannat Fanhang Kattan|Stream|MP|69|Saipan|110|151401N|1454639E|15.2336111|145.7775|151401N|1454639E|15.2336111|145.7775|119|390|Island of Saipan|01/01/2000|
1390385|Kannat Fanhang Lichan|Stream|MP|69|Saipan|110|151336N|1454639E|15.2266667|145.7775|151336N|1454639E|15.2266667|145.7775|80|262|Island of Saipan|01/01/2000|
1390386|Unai Fanhang|Beach|MP|69|Saipan|110|151327N|1454717E|15.2241667|145.7880556|||||32|105|Island of Saipan|01/01/2000|
1390387|Puntan As Fani|Cape|MP|69|Rota|100|140942N|1451645E|14.1616667|145.2791667|||||93|305|Island of Rota (Luta)|01/01/2000|
1390388|Fanlagon|Slope|MP|69|Rota|100|140756N|1451215E|14.1322222|145.2041667|||||458|1503|Island of Rota (Luta)|01/01/2000|
1390389|Fanochuluyan|Slope|MP|69|Saipan|110|151540N|1454817E|15.2611111|145.8047222|||||147|482|Island of Saipan|01/01/2000|
1390390|Kannat Fanochuluyan|Stream|MP|69|Saipan|110|151524N|1454828E|15.2566667|145.8077778|151524N|1454828E|15.2566667|145.8077778|75|246|Island of Saipan|01/01/2000|
1390391|Bahia Fanonchuluyan|Bay|MP|69|Saipan|110|151519N|1454848E|15.2552778|145.8133333|||||0|0|Island of Saipan|01/01/2000|
1390392|Puntan Fanonchuluyan|Cape|MP|69|Saipan|110|151504N|1454833E|15.2511111|145.8091667|||||62|203|Island of Saipan|01/01/2000|
1390393|Farallon de Medinilla|Island|MP|69|Northern Islands|085|160109N|1460439E|16.0191667|146.0775|||||||Farallon de Medinilla|01/01/2000|
1390394|Farallon de Pajaros|Island|MP|69|Northern Islands|085|203217N|1445353E|20.5380556|144.8980556|||||||Farallon de Pajaros|01/01/2000|
1390395|Sabanan Fiiang|Slope|MP|69|Saipan|110|151312N|1454648E|15.22|145.78|||||69|226|Island of Saipan|01/01/2000|
1390396|Fina�atkos, Puntan|Cape|MP|69|Rota|100|141114N|1451713E|14.1872222|145.2869444|||||60|197|Island of Rota (Luta)|01/01/2000|
1390397|Finagtan|Slope|MP|69|Rota|100|140848N|1450834E|14.1466667|145.1427778|||||2|7|Island of Rota (Luta)|01/01/2000|
1390398|Finata|Slope|MP|69|Rota|100|140843N|1451302E|14.1452778|145.2172222|||||329|1079|Island of Rota (Luta)|01/01/2000|
1390399|Puntan Flores|Cape|MP|69|Saipan|110|151347N|1454417E|15.2297222|145.7380556|||||0|0|Island of Saipan|01/01/2000|
1390400|Kannat As Frailan|Stream|MP|69|Saipan|110|151406N|1454724E|15.235|145.79|151406N|1454724E|15.235|145.79|92|302|Island of Saipan|01/01/2000|
1390401|Okso Frailon|Summit|MP|69|Saipan|110|151315N|1454418E|15.2208333|145.7383333|||||29|95|Island of Saipan|01/01/2000|
1390402|As Funta|Slope|MP|69|Rota|100|140953N|1451200E|14.1647222|145.2|||||135|443|Island of Rota (Luta)|01/01/2000|
1390403|Fuwaebosu|Channel|MP|69|Northern Islands|085|180458N|1454528E|18.0827778|145.7577778|||||||Pagan Island|01/01/2000|
1390404|Gagani|Slope|MP|69|Rota|100|140706N|1451004E|14.1183333|145.1677778|||||0|0|Island of Rota (Luta)|01/01/2000|
1390405|Sabanan Gallego|Slope|MP|69|Saipan|110|150936N|1454337E|15.16|145.7269444|||||89|292|Island of Saipan|01/01/2000|
1390406|Gampapa�|Basin|MP|69|Rota|100|141022N|1451604E|14.1727778|145.2677778|||||162|531|Island of Rota (Luta)|01/01/2000|
1390407|Garapan|Populated Place|MP|69|Saipan|110|151225N|1454254E|15.2069444|145.715|||||0|0|Saipan OE W|01/01/2000|04/21/2008
1390408|Laderan Gayan|Cliff|MP|69|Saipan|110|150615N|1454432E|15.1041667|145.7422222|||||2|7|Island of Saipan|01/01/2000|
1390409|Gayaugan|Slope|MP|69|Rota|100|140830N|1450916E|14.1416667|145.1544444|||||112|367|Island of Rota (Luta)|01/01/2000|
1390410|Ginalangan|Summit|MP|69|Rota|100|140955N|1451328E|14.1652778|145.2244444|||||184|604|Island of Rota (Luta)|01/01/2000|
1390411|Kannat Gloria|Stream|MP|69|Saipan|110|151201N|1454643E|15.2002778|145.7786111|151201N|1454643E|15.2002778|145.7786111|54|177|Island of Saipan|01/01/2000|
1390412|Puntan Gloria|Cape|MP|69|Saipan|110|151158N|1454644E|15.1994444|145.7788889|||||51|167|Island of Saipan|01/01/2000|
1390413|Laderan Gntot|Cliff|MP|69|Tinian|120|150326N|1453759E|15.0572222|145.6330556|||||62|203|Island of Tinian|01/01/2000|
1390414|Goanan|Slope|MP|69|Rota|100|140652N|1451144E|14.1144444|145.1955556|||||0|0|Island of Rota (Luta)|01/01/2000|
1390415|Gonna|Plain|MP|69|Saipan|110|150654N|1454233E|15.115|145.7091667|||||31|102|Island of Saipan|01/01/2000|
1390416|Gonna�, Laderan|Cliff|MP|69|Saipan|110|150710N|1454304E|15.1194444|145.7177778|||||45|148|Island of Saipan|01/01/2000|
1390417|As Gonna|Plain|MP|69|Saipan|110|150713N|1454220E|15.1202778|145.7055556|||||32|105|Island of Saipan|01/01/2000|
1390418|Government Pier|Locale|MP|69|Saipan|110|151204N|1454247E|15.2011111|145.7130556|||||0|0|Island of Saipan|01/01/2000|
1390419|Guguan Island|Island|MP|69|Northern Islands|085|171854N|1455052E|17.315|145.8477778|||||||Guguan Island|01/01/2000|
1390420|Ha‘ofna|Slope|MP|69|Rota|100|140707N|1451028E|14.1186111|145.1744444|||||156|512|Island of Rota (Luta)|01/01/2000|
1390421|Hagoi|Lake|MP|69|Tinian|120|150401N|1453720E|15.0669444|145.6222222|||||10|33|Island of Tinian|01/01/2000|
1390422|Hagoi Susupi|Lake|MP|69|Saipan|110|150904N|1454235E|15.1511111|145.7097222|||||2|7|Island of Saipan|01/01/2000|
1390423|Hakmang|Bench|MP|69|Saipan|110|150944N|1454624E|15.1622222|145.7733333|||||70|230|Island of Saipan|01/01/2000|
1390424|Laderan Hakmang|Cliff|MP|69|Saipan|110|150932N|1454659E|15.1588889|145.7830556|||||89|292|Island of Saipan|01/01/2000|
1390425|Puntan Hakmang|Cape|MP|69|Saipan|110|150900N|1454709E|15.15|145.7858333|||||0|0|Island of Saipan|01/01/2000|
1390426|Sabanan Hakmang|Slope|MP|69|Saipan|110|150919N|1454704E|15.1552778|145.7844444|||||131|430|Island of Saipan|01/01/2000|
1390427|Unai Hakmang|Beach|MP|69|Saipan|110|150907N|1454710E|15.1519444|145.7861111|||||51|167|Island of Saipan|01/01/2000|
1390428|Halaihai|Slope|MP|69|Saipan|110|151124N|1454618E|15.19|145.7716667|||||69|226|Island of Saipan|01/01/2000|
1390429|Kannat Halaihai|Stream|MP|69|Saipan|110|151058N|1454640E|15.1827778|145.7777778|151058N|1454640E|15.1827778|145.7777778|35|115|Island of Saipan|01/01/2000|
1390430|Puntan Halaihai|Cape|MP|69|Saipan|110|151049N|1454653E|15.1802778|145.7813889|||||21|69|Island of Saipan|01/01/2000|
1390431|Unai Halaihai|Beach|MP|69|Saipan|110|151057N|1454643E|15.1825|145.7786111|||||28|92|Island of Saipan|01/01/2000|
1390432|I Hasngot|Slope|MP|69|Saipan|110|151242N|1454635E|15.2116667|145.7763889|||||53|174|Island of Saipan|01/01/2000|
1390433|Saddok I Hasngot|Stream|MP|69|Saipan|110|151231N|1454631E|15.2086111|145.7752778|151231N|1454631E|15.2086111|145.7752778|49|161|Island of Saipan|01/01/2000|
1390434|Unai I Hasngot|Beach|MP|69|Saipan|110|151231N|1454632E|15.2086111|145.7755556|||||44|144|Island of Saipan|01/01/2000|
1390435|Hira Rock|Island|MP|69|Northern Islands|085|180809N|1454901E|18.1358333|145.8169444|||||||Mount Pagan|01/01/2000|
1390436|House of Taga Historical Site|Locale|MP|69|Tinian|120|145756N|1453711E|14.9655556|145.6197222|||||1|3|Island of Tinian|01/01/2000|
1390437|Laderan I Ifa|Cliff|MP|69|Saipan|110|150633N|1454440E|15.1091667|145.7444444|||||68|223|Island of Saipan|01/01/2000|
1390438|Ilek|Slope|MP|69|Rota|100|140721N|1450958E|14.1225|145.1661111|||||0|0|Island of Rota (Luta)|01/01/2000|
1390439|Inayan|Slope|MP|69|Rota|100|140952N|1451136E|14.1644444|145.1933333|||||84|276|Island of Rota (Luta)|01/01/2000|
1390440|Isang|Slope|MP|69|Rota|100|140845N|1450929E|14.1458333|145.1580556|||||301|988|Island of Rota (Luta)|01/01/2000|
1390441|Ka�an|Slope|MP|69|Rota|100|140818N|1450913E|14.1383333|145.1536111|||||28|92|Island of Rota (Luta)|01/01/2000|
1390442|Kahet|Slope|MP|69|Tinian|120|150033N|1453607E|15.0091667|145.6019444|||||79|259|Island of Tinian|01/01/2000|
1390443|Kalabera|Slope|MP|69|Saipan|110|151419N|1454755E|15.2386111|145.7986111|||||61|200|Island of Saipan|01/01/2000|
1390444|Kalabera Pass|Gap|MP|69|Saipan|110|151439N|1454701E|15.2441667|145.7836111|||||200|656|Island of Saipan|01/01/2000|
1390445|Laderan Kalaberan Kattan|Cliff|MP|69|Saipan|110|151608N|1454823E|15.2688889|145.8063889|||||177|581|Island of Saipan|01/01/2000|
1390446|Laderan Kalaberan Lichan|Cliff|MP|69|Saipan|110|151440N|1454734E|15.2444444|145.7927778|||||167|548|Island of Saipan|01/01/2000|
1390447|Kammer Beach|Beach|MP|69|Tinian|120|145749N|1453723E|14.9636111|145.6230556|||||0|0|Island of Tinian|01/01/2000|
1390448|Kannat Tapbla|Slope|MP|69|Saipan|110|151026N|1454332E|15.1738889|145.7255556|||||133|436|Island of Saipan|01/01/2000|
1390449|Kastiyu|Summit|MP|69|Tinian|120|145712N|1453854E|14.9533333|145.6483333|||||165|541|Island of Tinian|01/01/2000|
1390450|Puntan Kastiyu|Cape|MP|69|Tinian|120|145653N|1453944E|14.9480556|145.6622222|||||20|66|Island of Tinian|01/01/2000|
1390451|Chalan Kiya|Populated Place|MP|69|Saipan|110|150948N|1454302E|15.1633333|145.7172222|||||7|23|Island of Saipan|01/01/2000|
1390452|Unai Chalan Kiya|Beach|MP|69|Saipan|110|150941N|1454215E|15.1613889|145.7041667|||||0|0|Island of Saipan|01/01/2000|
1390453|Kobler Field (historical)|Airport|MP|69|Saipan|110|150721N|1454217E|15.1225|145.7047222|||||34|112|Island of Saipan|01/01/2000|
1390454|Kutake Yashi|Summit|MP|69|Northern Islands|085|180341N|1454353E|18.0613889|145.7313889|||||||Pagan Island|01/01/2000|
1390455|Puntan Laggua Kattan|Cape|MP|69|Saipan|110|151706N|1454859E|15.285|145.8163889|||||37|121|Island of Saipan|01/01/2000|
1390456|Puntan Laggua|Cape|MP|69|Saipan|110|151617N|1454937E|15.2713889|145.8269444|||||30|98|Island of Saipan|01/01/2000|
1390457|Unai Laggua|Beach|MP|69|Saipan|110|151625N|1454926E|15.2736111|145.8238889|||||30|98|Island of Saipan|01/01/2000|
1390458|Laderan Laggun|Cliff|MP|69|Saipan|110|151605N|1454901E|15.2680556|145.8169444|||||108|354|Island of Saipan|01/01/2000|
1390459|Lagunan Garapan|Bay|MP|69|Saipan|110|151044N|1454214E|15.1788889|145.7038889|||||0|0|Island of Saipan|01/01/2000|
1390460|Lalayak|Slope|MP|69|Rota|100|141139N|1451411E|14.1941667|145.2363889|||||41|135|Island of Rota (Luta)|01/01/2000|
1390461|Lamanibot|Slope|MP|69|Tinian|120|150225N|1453549E|15.0402778|145.5969444|||||7|23|Island of Tinian|01/01/2000|
1390462|Puntan Lamanibot Sanhilo|Cape|MP|69|Tinian|120|150305N|1453542E|15.0513889|145.595|||||0|0|Island of Tinian|01/01/2000|
1390463|Lamen|Slope|MP|69|Rota|100|140705N|1451145E|14.1180556|145.1958333|||||42|138|Island of Rota (Luta)|01/01/2000|
1390464|Sabanetan Unai Lamlam|Slope|MP|69|Tinian|120|150451N|1453739E|15.0808333|145.6275|||||8|26|Island of Tinian|01/01/2000|
1390465|Unai Lamlam|Beach|MP|69|Tinian|120|150512N|1453749E|15.0866667|145.6302778|||||0|0|Island of Tinian|01/01/2000|
1390466|Laolao|Slope|MP|69|Saipan|110|150950N|1454501E|15.1638889|145.7502778|||||123|404|Island of Saipan|01/01/2000|
1390467|Laolao Kattan|Slope|MP|69|Saipan|110|151023N|1454653E|15.1730556|145.7813889|||||20|66|Island of Saipan|01/01/2000|
1390468|Puntan Laolao Kattan|Cape|MP|69|Saipan|110|150955N|1454738E|15.1652778|145.7938889|||||53|174|Island of Saipan|01/01/2000|
1390469|Unai Laolao Kattan|Beach|MP|69|Saipan|110|151024N|1454700E|15.1733333|145.7833333|||||18|59|Island of Saipan|01/01/2000|
1390470|Bahia Laolao|Bay|MP|69|Saipan|110|150830N|1454523E|15.1416667|145.7563889|||||0|0|Island of Saipan|01/01/2000|
1390471|Chalan Laolao|Populated Place|MP|69|Saipan|110|151013N|1454254E|15.1702778|145.715|||||3|10|Island of Saipan|01/01/2000|
1390472|Kannat Laolao|Stream|MP|69|Saipan|110|150932N|1454452E|15.1588889|145.7477778|150932N|1454452E|15.1588889|145.7477778|44|144|Island of Saipan|01/01/2000|
1390473|Kannat Taddong Laolao|Stream|MP|69|Saipan|110|151015N|1454545E|15.1708333|145.7625|151015N|1454545E|15.1708333|145.7625|90|295|Island of Saipan|01/01/2000|
1390474|Laderan Laolao|Cliff|MP|69|Saipan|110|150950N|1454549E|15.1638889|145.7636111|||||8|26|Island of Saipan|01/01/2000|
1390475|Sabanan Laolao|Slope|MP|69|Saipan|110|151003N|1454518E|15.1675|145.755|||||135|443|Island of Saipan|01/01/2000|
1390476|Unai Laolao|Beach|MP|69|Saipan|110|150935N|1454504E|15.1597222|145.7511111|||||0|0|Island of Saipan|01/01/2000|
